1, 20.  0. 80.   0.    40.  0.    0.  75.  1.  0. 100. 200.;
2, 20.  0. 80.   0.    40.  0.    0.  75.  1.  0. 100. 200.;
3, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   20. ;
4, 20.  0. 200.  0.    199. 0.   0.    75.  1.  0. 88.  90.;
5, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   5. ;
6, 100. 0. 400.  0.    360. 0.   0.    100. 1.  0. 60.  61.;
7, 100. 0. 400.  0.    360. 0.   0.    100. 1.  0. 60.  62.;
8, 98.  0. 3724. -600. 160. 50.  0.    100. 10. 1. 31.  32.;
9, 560. 0. 2564. 0.    0.   60.  0.    75.  2.  0. 24.  25.;
10, 0.   0. 1000. 0.    0.   0.   0.    0.   -1. 0. 0.   50.;
11, 20.  0. 200.  0.    199. 0.   0.    75.  1.  0. 88.  90.;
12, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   5.;
13, 100. 0. 400.  0.    360. 0.   0.    100. 1.  0. 60.  61.;
14, 100. 0. 400.  0.    360. 0.   0.    100. 1.  0. 60.  62.;
15, 90.  0. 1485. 0.    200. 50.  0.    100. 14. 1. 12.  8. ;
16, 560. 0. 3165. -600. 0.   200. 0.    75.  1.  0. 10.  13.;
17, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   150.;
18, 140. 0. 40.   0.    0.   75.  0.    100. 6.  0. 1.   1.;
19, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   5.;
20, 65.  0. 3531. 600.  0.   15.  0.    100. 28. 1. 5.   6.;
21, 90.  0. 3851. -600. 120. 13.  0.    100. 21. 1. 14.  15.;
22, 98.  0. 2971. 600.  160. 30.  0.    100. -20. 1. 12. 13.;
23, 0.   0. 1000. 0.    0.   0.   0.    0.   1.   0. 0.  20.;
24, 150. 0. 4000. 0.    0.   0.   0.    75.  3.   0. 2.  3.;
25, 0.   0. 1000. 0.    0.   0.   0.    0.   1.   0. 0.  20.;
26, 0.   0. 160.  0.    0.   0.   0.    0.   1.   0. 0.  800.;
27, 0.   0. 1000. 0.    0.   0.   0.    0.   1.   0. 0.  2000.;
